taxpayer_id,nric,assessment_year,dq_score,nric_valid,postal_valid,filing_date_valid,chargeable_calc_valid,cpf_residency_valid
SG001,S1234567A,2023,100.0,True,True,True,True,True
SG002,S2345678B,2023,100.0,True,True,True,True,True
SG003,S3456789C,2023,100.0,True,True,True,True,True
SG004,S4567890D,2023,100.0,True,True,True,True,True
SG005,S5678901E,2023,100.0,True,True,True,True,True
SG006,S6789012F,2023,100.0,True,True,True,True,True
SG007,S7890123G,2023,100.0,True,True,True,True,True
SG008,S8901234H,2023,100.0,True,True,True,True,True
SG009,S9012345I,2023,100.0,True,True,True,True,True
SG010,S0123456J,2023,100.0,True,True,True,True,True
SG011,S1234567K,2023,100.0,True,True,True,True,True
SG012,S2345678L,2023,100.0,True,True,True,True,True
SG013,S3456789M,2023,100.0,True,True,True,True,True
SG014,S4567890N,2023,100.0,True,True,True,True,True
SG015,S5678901O,2023,100.0,True,True,True,True,True
SG016,S6789012P,2023,100.0,True,True,True,True,True
SG017,S7890123Q,2023,100.0,True,True,True,True,True
SG018,S8901234R,2023,100.0,True,True,True,True,True
SG019,S9012345S,2023,100.0,True,True,True,True,True
SG020,S0123456T,2023,100.0,True,True,True,True,True
SG021,G1234567U,2023,100.0,True,True,True,True,True
SG022,S2345678V,2023,100.0,True,True,True,True,True
SG023,S3456789W,2023,100.0,True,True,True,True,True
SG024,S4567890X,2023,100.0,True,True,True,True,True
SG025,S5678901Y,2023,100.0,True,True,True,True,True
SG026,S6789012Z,2023,100.0,True,True,True,True,True
SG027,S7890123A,2023,100.0,True,True,True,True,True
SG028,S8901234B,2023,100.0,True,True,True,True,True
SG029,S9012345C,2023,100.0,True,True,True,True,True
SG050,,2023,80.0,False,True,True,True,True
SG051,S1111111A,2023,80.0,True,True,False,True,True
SG052,S2222222B,2023,80.0,True,True,False,True,True
SG053,INVALID_NRIC,2023,60.0,False,True,False,True,True
SG054,S1234568A,2023,100.0,True,True,True,True,True
SG055,,2023,80.0,False,True,True,True,True
SG056,S3456781C,2023,100.0,True,True,True,True,True
SG057,XXXXX1234,2023,60.0,False,True,False,True,True
SG058,S4567892D,2023,100.0,True,True,True,True,True
SG059,S5678903E,2023,80.0,True,True,False,True,True
SG060,S6789014F,2023,100.0,True,True,True,True,True
SG061,,2023,80.0,False,True,True,True,True
SG062,S7890125G,2023,70.0,True,True,True,False,True
SG063,INVALID99,2023,60.0,False,True,False,True,True
SG064,S8901236H,2023,100.0,True,True,True,True,True
SG065,S9012347I,2023,80.0,True,True,False,True,True
SG066,S0123458J,2023,100.0,True,True,True,True,True
SG067,,2023,50.0,False,True,True,False,True
SG068,S1234569K,2023,100.0,True,True,True,True,True
SG069,BADNRIC01,2023,60.0,False,True,False,True,True
SG070,S2345670L,2023,70.0,True,True,True,False,True
SG071,S3456781M,2023,80.0,True,True,False,True,True
SG072,S4567892N,2023,100.0,True,True,True,True,True
SG073,,2023,80.0,False,True,True,True,True
SG074,S5678903O,2023,70.0,True,True,True,False,True
SG075,INVALID_ID,2023,60.0,False,True,False,True,True
SG076,S6789014P,2023,70.0,True,True,True,False,True
SG077,S7890125Q,2023,100.0,True,True,True,True,True
SG078,S8901236R,2023,100.0,True,True,True,True,True
SG079,,2023,60.0,False,True,False,True,True
SG080,S9012347S,2023,70.0,True,True,True,False,True
SG081,NRIC_BAD1,2023,30.0,False,True,False,False,True
SG082,S0123458T,2023,100.0,True,True,True,True,True
SG083,S1234569U,2023,100.0,True,True,True,True,True
SG084,S2345670V,2023,70.0,True,True,True,False,True
SG085,,2023,60.0,False,True,False,True,True
SG086,S3456781W,2023,70.0,True,True,True,False,True
SG087,BADNRIC02,2023,80.0,False,True,True,True,True
SG088,S4567892X,2023,70.0,True,True,True,False,True
SG089,S5678903Y,2023,80.0,True,True,False,True,True
SG090,S6789014Z,2023,100.0,True,True,True,True,True
SG091,,2023,80.0,False,True,True,True,True
SG092,S7890125A,2023,100.0,True,True,True,True,True
SG093,INVALID88,2023,60.0,False,True,False,True,True
SG094,S8901236B,2023,70.0,True,True,True,False,True
SG095,S9012347C,2023,100.0,True,True,True,True,True
SG096,S0123458D,2023,100.0,True,True,True,True,True
SG097,,2023,60.0,False,True,False,True,True
SG098,S1234569E,2023,70.0,True,True,True,False,True
SG099,NRICBAD99,2023,80.0,False,True,True,True,True
SG100,S2345670F,2023,70.0,True,True,True,False,True
SG101,S3456781G,2023,100.0,True,True,True,True,True
SG102,S4567892H,2023,70.0,True,True,True,False,True
SG103,,2023,60.0,False,True,False,True,True
SG104,S5678903I,2023,70.0,True,True,True,False,True
SG105,BADID2024,2023,60.0,False,True,False,True,True
SG106,S6789014J,2023,70.0,True,True,True,False,True
SG107,S7890125K,2023,70.0,True,True,True,False,True
SG108,S8901236L,2023,100.0,True,True,True,True,True
SG109,,2023,60.0,False,True,False,True,True
SG110,S9012347M,2023,100.0,True,True,True,True,True
SG111,NRIC_INV1,2023,60.0,False,True,False,True,True
SG112,S0123458N,2023,100.0,True,True,True,True,True
SG113,S1234569O,2023,100.0,True,True,True,True,True
SG114,S2345670P,2023,100.0,True,True,True,True,True
SG115,,2023,60.0,False,True,False,True,True
SG116,S3456781Q,2023,70.0,True,True,True,False,True
SG117,INVALID77,2023,80.0,False,True,True,True,True
SG118,S4567892R,2023,70.0,True,True,True,False,True
SG119,S5678903S,2023,70.0,True,True,True,False,True
SG120,S6789014T,2023,100.0,True,True,True,True,True
SG121,,2023,60.0,False,True,False,True,True
SG122,S7890125U,2023,70.0,True,True,True,False,True
SG123,NRICWRONG,2023,60.0,False,True,False,True,True
SG124,S8901236V,2023,70.0,True,True,True,False,True
SG125,S9012347W,2023,80.0,True,True,False,True,True
SG126,S0123458X,2023,70.0,True,True,True,False,True
SG127,,2023,60.0,False,True,False,True,True
SG128,S1234569Y,2023,70.0,True,True,True,False,True
SG129,BADNRIC03,2023,60.0,False,True,False,True,True
SG130,S2345670Z,2023,70.0,True,True,True,False,True
SG131,S3456781A,2023,100.0,True,True,True,True,True
SG132,S4567892B,2023,100.0,True,True,True,True,True
SG133,,2023,60.0,False,True,False,True,True
SG134,S5678903C,2023,70.0,True,True,True,False,True
SG135,NRIC_BAD2,2023,60.0,False,True,False,True,True
SG136,S6789014U,2023,70.0,True,True,True,False,True
SG137,S7890125V,2023,70.0,True,True,True,False,True
SG138,S8901236W,2023,100.0,True,True,True,True,True
SG139,,2023,60.0,False,True,False,True,True
SG140,S9012347X,2023,70.0,True,True,True,False,True
SG141,INVALID66,2023,80.0,False,True,True,True,True
SG142,S0123458Y,2023,70.0,True,True,True,False,True
SG143,S1234569Z,2023,100.0,True,True,True,True,True
SG144,S2345670A,2023,100.0,True,True,True,True,True
SG145,,2023,60.0,False,True,False,True,True
SG146,S3456781B,2023,70.0,True,True,True,False,True
SG147,BADID9999,2023,60.0,False,True,False,True,True
SG148,S4567892C,2023,100.0,True,True,True,True,True
SG149,S5678903D,2023,100.0,True,True,True,True,True
SG030,S0123456D,2023,100.0,True,True,True,True,True
SG031,G2345678E,2023,100.0,True,True,True,True,True
SG032,S3456789F,2023,100.0,True,True,True,True,True
SG033,S4567890G,2023,100.0,True,True,True,True,True
SG034,S5678901H,2023,100.0,True,True,True,True,True
SG035,S6789012I,2023,100.0,True,True,True,True,True
SG036,S7890123J,2023,100.0,True,True,True,True,True
SG037,S8901234K,2023,100.0,True,True,True,True,True
SG038,S9012345L,2023,100.0,True,True,True,True,True
SG039,S0123456M,2023,100.0,True,True,True,True,True
SG040,S1234567N,2023,100.0,True,True,True,True,True
SG041,G3456789O,2023,100.0,True,True,True,True,True
SG042,S4567890P,2023,100.0,True,True,True,True,True
SG043,S5678901Q,2023,100.0,True,True,True,True,True
